"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","토지등 소유자 수","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","분양세대총수","60㎡이하","60㎡초과~85㎡이하","85㎡초과","임대세대총수","(임대)40㎡이하","(임대)40㎡초과~50㎡이하","(임대)50㎡초과","건축계획비고","위치도","조감도","배치도","조합사무실 주소","조합사무실 전화번호"
"11260-900000932","중랑구","면목동","가로주택정비","조합","면목역6구역 가로주택정비사업","면목동 86-19","조합설립인가","운영","186","면목역6구역 가로주택정비사업","중랑구 면목동 86-19","14203.50","63993.52","","","","","","","","","","아파트","31.89","303.48","","33","3","335","115","218","2","88","","55","33","","/servlet/image?url=images/assc/2024/07/202407261019161721956756651.png","/servlet/image?url=images/assc/2022/08/202208031710201659514220842.jpg","","서울특별시 중랑구 상봉로 75, 301호 (면목동)","02-2208-2224"
"11380-900000892","은평구","갈현동","가로주택정비","조합","갈현동 이화연립일원 가로주택정비사업","갈현동 259-7","조합설립인가","운영","68","갈현동 이화연립일원 가로주택정비사업","은평구 갈현동 259-7","5351.00","19046.87","제2종 일반주거지역(7층 이하)","","","","","","","","","제2종 일반주거(7층이하)","47.47","249.12","","2","10","109","40","69","","28","","28","","","/servlet/image?url=images/assc/2024/05/202405091740221715244022793.jpg","","","서울특별시 은평구 갈현로33길 4, 2층 (갈현동)","02-353-3538"
"11305-900001150","강북구","미아동","재개발(주택정비형)","공공지원자","미아동 791-2882번지 일대 주택정비형 재개발사업","미아동 791-2882","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11320-900001233","도봉구","쌍문동","재개발(주택정비형)","공공지원자","쌍문3구역 주택정비형재개발사업","쌍문동 724","정비계획 수립","운영","180","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11215-900000150","광진구","중곡동","재건축","조합","중곡아파트 주택재건축정비사업조합","중곡동 190-26","조합설립인가","운영","272","중곡아파트공공재건축정비사업","광진구 중곡동 190-26번지","10262.30","34415.00","제2종일반주거지역","일반미관지구","10262.30","1293.30","595.00","","632.10","","","공동주택","32.21","249.71","50","15","3","276","266","10","","20","20","","","","/servlet/image?url=images/assc/2021/04/202104161255491618545349025.png","/servlet/image?url=images/assc/2024/08/202408091006171723165577371.jpg","/servlet/image?url=images/assc/2024/08/202408091009031723165743591.bak","서울특별시 광진구 긴고랑로1길 55, 5동 지하사무실 (중곡동, 중곡아파트)","02-3409-5558"
"11290-900000971","성북구","장위동","가로주택정비","조합","장위11의4구역 가로주택정비사업조합","장위동 66-146","조합설립인가","운영","133","장위11의4구역 가로주택정비사업","성북구 장위동 66-146","7189.72","23540.19","제2종일반주거지역","7층 이하","","0.00","0.00","0.00","0.00","0.00","","아파트 및 부대복리시설","36.20","219.27","","7","2","163","121","42","","47","","47","","","/servlet/image?url=images/assc/2023/06/202306291608021688022482243.jpg","/servlet/image?url=images/assc/2023/06/202306291610241688022624810.jpg","/servlet/image?url=images/assc/2023/06/202306291610241688022624857.jpg","서울특별시 성북구 화랑로33길 14, 1층 (장위동)","02-3292-1181"
"11290-900001209","성북구","종암동","재개발(주택정비형)","공공지원자","종암동 3-10번지 일대 주택정비형 재개발사업","종암동 3-10","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11320-900001118","도봉구","쌍문동","지역주택","조합","쌍문동137번지 지역주택조합","쌍문동 137-94","조합설립인가","운영","0","쌍문동137번지 지역주택조합","도봉구 쌍문동 137-94외 5필지","1662.10","46145.75","제2종 일반주거지역","","1662.10","","","","","","","아파트","59.63","199.61","","13","1","34","34","","","0","","","","","/servlet/image?url=images/assc/2023/12/202312171624271702797867846.jpg","/servlet/image?url=images/assc/2023/12/202312171624281702797868712.jpg","/servlet/image?url=images/assc/2023/12/202312171624291702797869657.jpg","서울특별시 도봉구 도봉로110다길 6, 1층 부동산1번지 (창동)","02-992-8400"
"11620-900001117","관악구","신림동","지역주택","조합","(가칭)신대방역2단지 지역주택조합 추진위원회","신림동 475-83","조합설립인가","운영","1481","(가칭)신대방역2단지 지역주택조합","관악구 신림동 475-83","122610.00","192475.37","도시지역 - 일반주거지역 - 제23종일반주거지","과밀억제권역","122610.00","7277.00","6560.00","0.00","0.00","0.00","1000.00","공동주택","18.21","121.29","70","1","25","1494","1188","306","","0","","","","","/servlet/image?url=images/assc/2023/10/202310041155181696388118624.jpg","/servlet/image?url=images/assc/2023/10/202310041155191696388119035.jpg","/servlet/image?url=images/assc/2023/10/202310041155191696388119151.jpg","서울특별시 관악구 신사로 150, 2층 (신림동)","02-869-3450"
"11710-900000876","송파구","거여동","지역주택","조합","(가칭)거여파크지역주택조합","거여동 6","조합설립인가","운영","0","지역주택조합","송파구 거여동 6-0","22362.61","78108.63","제2종일반주거지역","","","1345.40","1508.10","","","","","공동주택","21.67","237.30","","25","3","493","321","172","","0","","","","","/servlet/image?url=images/assc/2023/04/202304041051031680573063215.png","/servlet/image?url=images/assc/2023/12/202312291209581703819398540.jpg","/servlet/image?url=images/assc/2023/04/202304041054091680573249270.jpg","서울특별시 송파구 동남로 282, 2층 202호(오금동, 재상빌딩) (오금동)","02-6212-1021"
"11710-900000875","송파구","거여동","지역주택","조합","거여역2 지역주택조합","거여동 173-3","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11710-900000874","송파구","거여동","지역주택","조합","(가칭)거여역1지역주택조합","거여동 17-9","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
