대표지번,진행단계,cate_code,위도,경도
면목동 86-19,조합설립인가,4,37.58178,127.09034
갈현동 259-7,조합설립인가,4,37.4149075,126.9824277
미아동 791-2882,정비계획 수립,1,37.628995,127.02575433718266
쌍문동 724,정비계획 수립,1,37.65347,127.02715
중곡동 190-26,조합설립인가,4,37.56286,127.08921
장위동 66-146,조합설립인가,4,,
종암동 3-10,정비계획 수립,1,37.59631,127.03333
쌍문동 137-94,조합설립인가,4,37.65347,127.02715
신림동 475-83,조합설립인가,4,37.4730961,126.9282982
거여동 6,조합설립인가,4,37.48921,127.14667
거여동 173-3,조합설립인가,4,37.48921,127.14667
거여동 17-9,조합설립인가,4,37.48921,127.14667
가락동 32,조합설립인가,4,35.190215,128.8920173
가락동 39,조합설립인가,4,35.190215,128.8920173
종암동 3-745,조합설립인가,4,37.59631,127.03333
홍은동 48-163,사업시행인가,5,37.59296,126.93733
신정동 1152-1,조합설립인가,4,35.53487,129.31199
북가좌동 73-1,조합설립인가,4,37.57953,126.91156
고척동 103-4,조합설립추진위원회승인,3,37.5034631,126.8585846
상도동 211-447,관리처분인가,6,37.4988159,126.9441045
양평동6가 84,조합설립인가,4,37.5418285,126.890214
신길동 1358,정비계획 수립,1,37.3335204,126.77378
신길동 96-24,정비계획 수립,1,37.3335204,126.77378
대림동 807-13,정비계획 수립,1,37.4957573,126.899936
미아동 45-32,사업시행인가,5,37.628995,127.02575433718266
마곡동 327-53,사업시행인가,5,37.56619,126.8255083
홍은동 322-1,사업시행인가,5,37.59296,126.93733
문래동3가 76-1,조합설립추진위원회승인,3,37.51702,126.89591
북아현동 3-66,사업시행인가,5,37.55947205,126.9552493630483
방배동 975-35,철거신고,8,37.4798789,126.9939103
신길동 205-136,정비구역지정,2,37.3335204,126.77378
신길동 147-80,정비계획 수립,1,37.3335204,126.77378
여의도동 41,조합설립인가,4,,
가리봉동 87-177,정비계획 수립,1,37.4838745,126.8889756
면목동 69-14,정비계획 수립,1,37.58178,127.09034
석관동 261-98,조합설립인가,4,37.60789,127.06116
공덕동 11-24,정비계획 수립,1,37.549927049999994,126.95928971994923
화곡동 73-105,조합설립인가,4,37.54208,126.84656
전농동 643,조합설립인가,4,37.5806,127.05543
상봉동 50-1,조합설립추진위원회승인,3,35.203496599999994,128.07191852499722
망우동 461,정비계획 수립,1,37.600581250000005,127.10336899657526
천호동 532-2,조합설립추진위원회승인,3,37.54294,127.12733
신길동 442-2,조합설립인가,4,37.3335204,126.77378
등촌동 365,조합설립인가,4,37.55772775,126.84820955192035
화곡동 424-63,조합설립인가,4,37.54208,126.84656
화곡동 1133-7,조합설립인가,4,37.54208,126.84656
노량진동 84-24,조합설립인가,4,37.5110101,126.9414634
면목동 371-134,조합설립인가,4,37.58178,127.09034
미아동 258,정비계획 수립,1,37.628995,127.02575433718266
번동 148,정비계획 수립,1,37.62929,127.03684
당산동6가 104,정비계획 수립,1,37.5369887,126.8960409
면목동 152-1,조합설립인가,4,37.58178,127.09034
대치동 66-,사업시행인가,5,37.5054018,127.0546042
서초동 1478-12,조합설립인가,4,37.4775521,126.9837273
상계동 322-8,조합설립인가,4,37.66727,127.07242
갈월동 92,조합설립인가,4,37.54487,126.9715441
장위동 238-83,조합설립인가,4,37.6162,127.05086
고척동 52-332,조합설립인가,4,37.5034631,126.8585846
길음동 498,조합해산,13,37.6085308,127.0201946
창동 466,조합설립인가,4,37.64643,127.04326
창동 581-3,조합설립인가,4,37.64643,127.04326
방학동 343,조합설립인가,4,37.66442,127.03333
고척동 253,정비계획 수립,1,37.5034631,126.8585846
하중동 18-2,준공인가,11,37.54365,126.92838
도봉동 625-80,조합설립인가,4,37.6826056,127.0425405
보광동 360,조합설립인가,4,37.5267109,127.00021654781031
현석동 1-31,정비계획 수립,1,37.54254,126.93469
신사동 200,정비계획 수립,1,37.52232055,127.02770186675215
고척동 241-337,조합설립인가,4,37.5034631,126.8585846
창신동 23-2,조합설립추진위원회승인,3,37.57595,127.01313
영등포동2가 253,조합설립추진위원회승인,3,37.52125,126.91222
영등포동2가 34-81,조합설립추진위원회승인,3,37.52125,126.91222
영등포동2가 439,준공인가,11,37.52125,126.91222
방화동 584-1,사업시행인가,5,37.57682,126.81422
신월동 941,조합설립인가,4,37.52782,126.83692
시흥동 919,조합설립인가,4,37.4507049,126.9085555
문래동3가 77-2,안전진단,0,37.51702,126.89591
당산동3가 2-6,안전진단,0,37.52616,126.89724
신길동 364,안전진단,0,37.3335204,126.77378
신길동 365,안전진단,0,37.3335204,126.77378
여의도동 11-1,안전진단,0,37.5210579,126.9297678
잠원동 59-10,착공신고,9,37.518254400000004,127.01240284968915
숭인동 61-103,조합설립인가,4,37.57648,127.01848
창신동 427-7,조합설립인가,4,37.57595,127.01313
남가좌동 224,조합해산,13,37.57744,126.9179
오금동 147,조합설립인가,4,37.348425399999996,126.92938338827679
마천동 45-,정비계획 수립,1,37.49803,127.15167
정릉동 895,조합설립인가,4,37.61654,126.99794
홍은동 277-200,사업시행인가,5,37.59296,126.93733
개봉동 170-35,조합설립인가,4,37.4931629,126.851736
용두동 26-3,조합설립인가,4,37.57616,127.03476
개봉동 49,정비계획 수립,1,37.4931629,126.851736
가산동 12-31,정비구역지정,2,37.47532525,126.88639535805152
신내동 482-1,관리처분인가,6,37.61182,127.09298
미아동 767-51,조합설립인가,4,37.628995,127.02575433718266
청량리동 235-1,조합설립추진위원회승인,3,37.58831,127.0459
한강로2가 210-1,일반분양승인,10,37.53142,126.9685
한남동 29-4,조합설립인가,4,37.53822,127.0074
홍은동 11-360,조합설립인가,4,37.59296,126.93733
불광동 600,정비구역지정,2,37.6160647,126.9339579
개포동 656-3,이전고시,7,37.48421,127.07006
천호동 166-4,조합설립인가,4,37.54294,127.12733
가산동 12-31,준공인가,11,37.47532525,126.88639535805152
자양동 249-2,조합설립인가,4,36.3366812,127.4490374
거여동 549,조합설립인가,4,37.48921,127.14667
면목동 154-31,조합설립인가,4,37.58178,127.09034
신림동 675,정비계획 수립,1,37.48682825,126.92826657522511
시흥동 810,조합설립추진위원회승인,3,37.4507049,126.9085555
신사동 338-41,정비계획 수립,1,37.52232055,127.02770186675215
잠원동 74-,이전고시,7,37.518254400000004,127.01240284968915
장위동 85,조합설립인가,4,37.6162,127.05086
신길동 1367-1,조합설립인가,4,37.3335204,126.77378
대조동 88,착공신고,9,37.612610000000004,126.92278351858204
행당동 248,조합설립추진위원회승인,3,37.55783,127.03571
석관동 334-69,조합설립인가,4,37.60789015,127.06148520004993
종암동 112-37,조합설립인가,4,37.59631,127.03333
중화동 329-38,조합설립인가,4,37.59755,127.07783
상도동 194-27,조합설립인가,4,37.4988159,126.9441045
방화동 615-103,사업시행인가,5,37.57682,126.81422
흑석동 99-3,조합설립인가,4,37.5064393,126.963687
상도동 244-1,정비계획 수립,1,37.4988159,126.9441045
영등포동4가 431-6,조합설립인가,4,37.51777,126.90368
상봉동 304-4,조합설립인가,4,35.203496599999994,128.07191852499722
사당동 192-1,조합설립인가,4,37.4856963,126.9723525
종암동 125-35,정비계획 수립,1,37.59631,127.03333
천호동 145-66,조합설립인가,4,37.54294,127.12733
신길동 325-57,조합설립인가,4,37.3335204,126.77378
보광동 272-3,사업시행인가,5,37.5267109,127.00021654781031
목동 911,정비구역지정,2,36.3341817,127.4091513
제기동 120-104,관리처분인가,6,37.58465,127.03678
시흥동 817,조합설립인가,4,37.4507049,126.9085555
상도동 182-13,조합설립인가,4,,
사당동 156-3,조합설립인가,4,37.4856963,126.9723525
사당동 161-55,조합설립인가,4,37.4856963,126.9723525
오류동 206-2,조합설립추진위원회승인,3,36.3253384,127.4050329
면목동 109-2,조합설립인가,4,37.58178,127.09034
원효로1가 82-1,정비계획 수립,1,37.537689150000006,126.96732507803657
한강로3가 65-342,정비계획 수립,1,37.52754,126.96297
청파동1가 46,정비계획 수립,1,37.5488,126.96668
