대표지번,진행단계,위도,경도,cate_code
당산동4가 88,안전진단,37.52915,126.89894,0
대림동 696,안전진단,37.4957573,126.899936,0
문래동3가 77-2,안전진단,37.51702,126.89591,0
양평동3가 79-4,안전진단,37.5282501,126.8914746,0
여의도동 40,안전진단,37.5184931,126.9395997,0
신길동 4656,안전진단,37.3335204,126.77378,0
당산동3가 2-6,안전진단,37.52616,126.89724,0
신길동 365,안전진단,37.3335204,126.77378,0
여의도동 11-1,안전진단,37.5273747,126.9166492,0
여의도동 32,안전진단,37.5189754,126.9389194,0
신길동 364,안전진단,37.3335204,126.77378,0
구수동 16-1,정비계획 수립,37.54616,126.93299,1
마천동 45-,정비계획 수립,37.49803,127.15167,1
개봉동 49,정비계획 수립,37.4931629,126.851736,1
원효로1가 82-1,정비계획 수립,37.537689150000006,126.96732507803657,1
마장동 382,정비계획 수립,37.56743,127.04045,1
마천동 183-1,정비계획 수립,35.1267919,128.7835554,1
청파동1가 46,정비계획 수립,37.5488,126.96668,1
신사동 200,정비계획 수립,37.52232055,127.02770186675215,1
현석동 1-31,정비계획 수립,37.54254,126.93469,1
홍은동 8-400,정비계획 수립,37.59296,126.93733,1
신정동 913,정비계획 수립,35.53487,129.31199,1
고척동 253,정비계획 수립,37.5034631,126.8585846,1
효창동 5-307,정비계획 수립,37.54341,126.96037,1
한강로3가 40-881,정비계획 수립,37.52754,126.96297,1
홍제동 298-9,정비계획 수립,37.5871,126.94676,1
염리동 488-14,정비계획 수립,37.54914,126.94915,1
명일동 56,정비계획 수립,37.54841,127.15158,1
대림동 786-2,정비계획 수립,35.86723,128.74766,1
가리봉동 115,정비계획 수립,37.4838745,126.8889756,1
응암동 700,정비계획 수립,37.59418,126.92555,1
수유동 170-1,정비계획 수립,37.6352212,127.0090642,1
응암동 755,정비계획 수립,37.59418,126.92555,1
목동 232,정비계획 수립,37.5502462,126.86429110559628,1
가산동 666-666,정비계획 수립,37.47532525,126.88639535805152,1
홍제동 311-1,정비계획 수립,37.5871,126.94676,1
종암동 125-35,정비계획 수립,37.59631,127.03333,1
석관동 62-1,정비계획 수립,37.60789015,127.06148520004992,1
청량리동 19,정비계획 수립,37.58683775,127.05117755561722,1
불광동 329-13,정비계획 수립,37.6160647,126.9339579,1
도림동 26-21,정비계획 수립,37.5082619,126.8993866115764,1
대림동 855-1,정비계획 수립,37.4957573,126.899936,1
응암동 700,정비계획 수립,37.59418,126.92555,1
신사동 338-41,정비계획 수립,37.52232055,127.02770186675215,1
북아현동 221-7,정비계획 수립,37.55947205,126.9552493630483,1
신림동 675,정비계획 수립,37.48682825,126.92826657522512,1
영등포동4가 423-,정비계획 수립,37.51777,126.90368,1
신길동 1343,정비계획 수립,37.3335204,126.77378,1
도림동 239-12,정비계획 수립,37.5082619,126.8993866115764,1
상도동 244-1,정비계획 수립,37.4988159,126.9441045,1
목동 523,정비계획 수립,37.5345787,126.87967448346438,1
한강로3가 65-342,정비계획 수립,37.52754,126.96297,1
신길동 147-80,정비계획 수립,37.3335204,126.77378,1
서계동 33-1,정비계획 수립,37.55234,126.96595,1
한강로1가 231-30,정비계획 수립,37.53517,126.97404,1
공덕동 11-24,정비계획 수립,37.54992705,126.95928971994924,1
가산동 12-32,정비계획 수립,37.47532525,126.88639535805152,1
면목동 69-14,정비계획 수립,37.58178,127.09034,1
신길동 4918-5,정비계획 수립,37.3335204,126.77378,1
신길동 278-121,정비계획 수립,37.3335204,126.77378,1
가리봉동 87-177,정비계획 수립,37.4838745,126.8889756,1
천호동 214-19,정비계획 수립,37.54294,127.12733,1
신길동 1358,정비계획 수립,37.3335204,126.77378,1
신길동 96-24,정비계획 수립,37.3335204,126.77378,1
당산동3가 410-,정비계획 수립,37.52616,126.89724,1
대림동 807-13,정비계획 수립,37.4957573,126.899936,1
신림동 412,정비계획 수립,37.48682825,126.92826657522512,1
영등포동 618-83,정비계획 수립,37.5222786,126.90785736304468,1
이문동 170-65,정비계획 수립,37.60021,127.06124,1
합정동 376-3,정비계획 수립,37.5477846,126.90956355330226,1
망우동 461,정비계획 수립,37.600581250000005,127.10336899657526,1
당산동5가 7-2,정비계획 수립,37.53208,126.90102,1
번동 441-3,정비계획 수립,37.62929,127.03684,1
남가좌동 11-11,정비계획 수립,37.57744,126.9179,1
번동 148,정비계획 수립,37.62929,127.03684,1
종암동 3-10,정비계획 수립,37.59631,127.03333,1
청파동1가 89-18,정비계획 수립,37.5488,126.96668,1
당산동6가 104,정비계획 수립,37.5369887,126.8960409,1
신정동 314,정비계획 수립,35.53487,129.31199,1
신길동 1448-1,정비계획 수립,37.3335204,126.77378,1
명일동 44,정비계획 수립,37.54841,127.15158,1
미아동 791-2882,정비계획 수립,37.628995,127.02575433718266,1
자양동 57-90,정비계획 수립,36.3366812,127.4490374,1
문래동1가 13,정비계획 수립,37.51217,126.89799,1
시흥동 1002-2,정비계획 수립,37.4507049,126.9085555,1
쌍문동 724,정비계획 수립,37.65347,127.02715,1
미아동 258,정비계획 수립,37.628995,127.02575433718266,1
마곡동 327-53,정비구역지정,37.56619,126.8255083,2
문래동2가 14-84,정비구역지정,37.5128036,126.8929788,2
불광동 227-7,정비구역지정,37.6160647,126.9339579,2
중화동 329-38,정비구역지정,37.59755,127.07783,2
시흥동 810,정비구역지정,37.4507049,126.9085555,2
자양동 695,정비구역지정,37.5329735,127.0727409,2
중곡동 18-24,정비구역지정,37.56286,127.08921,2
대조동 59-1,정비구역지정,37.61261,126.92278351858204,2
명일동 257,정비구역지정,37.54841,127.15158,2
교남동 28,정비구역지정,37.5707991,126.9608805,2
오금동 43,정비구역지정,37.35395724999999,126.93242287905082,2
공덕동 115-97,정비구역지정,37.54992705,126.95928971994924,2
구로동 715-24,정비구역지정,37.4945849,126.8845477,2
영등포동7가 105-7,정비구역지정,37.5246695,126.9073675901746,2
목동 911,정비구역지정,36.3341817,127.4091513,2
영등포동2가 34-4,정비구역지정,37.52125,126.91222,2
영등포동5가 34-16,정비구역지정,37.52095,126.9066,2
영등포동2가 333-,정비구역지정,37.52125,126.91222,2
영등포동2가 170-,정비구역지정,37.52125,126.91222,2
상계동 154-3,정비구역지정,37.66727,127.07242,2
궁동 213-27,정비구역지정,37.5006694,126.8280726,2
영등포동2가 213-,정비구역지정,37.52291035,126.9067619666343,2
영등포동2가 159-,정비구역지정,37.52125,126.91222,2
가락동 96-1,정비구역지정,35.190215,128.8920173,2
교남동 28,정비구역지정,37.5707991,126.9608805,2
수색동 32-13,정비구역지정,37.58518725,126.8948584489098,2
천호동 461-31,정비구역지정,37.54294,127.12733,2
영등포동5가 64,정비구역지정,37.52095,126.9066,2
영등포동5가 49-1,정비구역지정,37.52095,126.9066,2
영등포동5가 34-46,정비구역지정,37.52095,126.9066,2
문래동1가 70-1,정비구역지정,37.51217,126.89799,2
영등포동2가 34-75,정비구역지정,37.52125,126.91222,2
영등포동2가 256-,정비구역지정,37.52125,126.91222,2
영등포동2가 328-11,정비구역지정,37.52125,126.91222,2
영등포동5가 38-3,정비구역지정,37.52095,126.9066,2
영등포동5가 100,정비구역지정,37.52095,126.9066,2
영등포동2가 299-,정비구역지정,37.52125,126.91222,2
영등포동5가 81-1,정비구역지정,37.52095,126.9066,2
영등포동5가 6,정비구역지정,37.5205902,126.9040351,2
