진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,면목역6구역 가로주택정비사업,14203.5,가로주택정비,조합 설립 전,서울시 중랑구 면목동 86-19,37.5914802,127.092219,4
조합설립인가,강변현대아파트 리모델링사업조합,5165.0,리모델링,조합 설립 전,서울시 송파구 풍납동 299-1,37.5339084,127.111563,4
조합설립인가,문정건영아파트 리모델링주택조합,212632.0,리모델링,조합 설립 전,서울시 송파구 문정동 72-3,37.4816693,127.1257133,4
조합설립인가,길훈아파트 소규모재건축정비사업,9096.0,소규모재건축,조합 설립 전,서울시 구로구 오류동 150-42,37.4905513,126.8438286,4
조합설립인가,압구정아파트지구 특별계획구역② 재건축사업,172588.2,재건축,조합 설립 전,서울시 강남구 압구정동 434-0,37.5289279,127.0241089,4
조합설립인가,미포로5구역제2지구도시환경정비사업,5596.2,재개발(도시정비형),조합 설립 전,서울시 서대문구 충정로3가 250-70,37.5615459,126.9641104,4
조합설립인가,우성아파트 주택재건축정비사업구역,120354.2,재건축,조합 설립 전,서울시 잠실동 101-1번지 일원,37.5068649,127.073142,4
조합설립인가,장위11-2구역 가로주택정비사업,6685.0,가로주택정비,조합 설립 전,서울시 성북구 장위동 68-833,37.6097117,127.0508284,4
조합설립인가,정릉동 218의1일대 가로주택정비사업,6972.9,가로주택정비,조합 설립 전,서울시 성북구 정릉동 218-1,37.609706,127.0135382,4
조합설립인가,장위13-4구역 가로주택정비사업,9786.0,가로주택정비,조합 설립 전,서울시 성북구 장위동 219-133,37.6184288,127.045554,4
조합설립인가,길음5재정비촉진구역,36333.9,재개발(주택정비형),조합 설립 전,서울시 성북구 정릉동 175번지,37.6043088,127.0158682,4
조합설립인가,장위15구역 주택재개발정비사업,189450.0,재개발(주택정비형),조합 설립 전,서울시 장위동 233-42,37.6121363,127.04827,4
조합설립인가,신길삼성아파트 주택재건축정비사업,15945.0,재건축,조합 설립 전,서울시 영등포구 신길동 4759-0,37.4963658,126.9111928,4
조합설립인가,면목동10의2번지 일원 가로주택정비사업,7984.0,가로주택정비,조합 설립 전,서울시 망우동 427-5번지,37.5896274,127.1012209,4
조합설립인가,마천3재정비촉진구역,133830.0,재개발(주택정비형),조합 설립 전,서울시 마천동 283,37.4934696,127.1570208,4
